compound_id	compound_name	disease_id	disease_name	rel_type
Q834280	bupropion	Q18553444	nicotine dependence	drug-used-for-treatment_DduftC
Q412194	buspirone	Q544006	anxiety disorder	drug-used-for-treatment_DduftC
Q412194	buspirone	Q19000444	neurotic disorder	drug-used-for-treatment_DduftC
Q348922	busulfan	Q729735	chronic myeloid leukemia	drug-used-for-treatment_DduftC
Q348922	busulfan	Q1752571	myelofibrosis	drug-used-for-treatment_DduftC
Q348922	busulfan	Q948318	polycythemia vera	drug-used-for-treatment_DduftC
Q850729	butenafine	Q17141201	Tinea	drug-used-for-treatment_DduftC
Q850729	butenafine	Q926462	pityriasis versicolor	drug-used-for-treatment_DduftC
Q850729	butenafine	Q5609817	tinea pedis	drug-used-for-treatment_DduftC
Q2928948	butoconazole	Q977090	vulvovaginal candidiasis	drug-used-for-treatment_DduftC
Q412963	cabazitaxel	Q33525	carcinoma	drug-used-for-treatment_DduftC
Q423308	cabergoline	Q11085	Parkinson's disease	drug-used-for-treatment_DduftC
Q423308	cabergoline	Q1433936	hyperprolactinemia	drug-used-for-treatment_DduftC
Q795057	cabozantinib	Q826522	thyroid cancer	drug-used-for-treatment_DduftC
Q139307	calcifediol anhydrous	Q6822340	metabolic bone disease	drug-used-for-treatment_DduftC
Q155683	calcipotriene	Q4676432	pustulosis of palm and sole	drug-used-for-treatment_DduftC
Q139195	calcitriol	Q1344835	hyperparathyroidism	drug-used-for-treatment_DduftC
Q139195	calcitriol	Q4676432	pustulosis of palm and sole	drug-used-for-treatment_DduftC
Q139195	calcitriol	Q183392	rickets	drug-used-for-treatment_DduftC
Q409251	calcium acetate	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q409251	calcium acetate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q18968110	duodenal ulcer	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q18554653	peptic esophagitis	drug-used-for-treatment_DduftC
Q23767	calcium carbonate	Q172941	peptic ulcer disease	drug-used-for-treatment_DduftC
Q208451	calcium chloride anhydrous	Q511818	Tetany	drug-used-for-treatment_DduftC
Q208451	calcium chloride anhydrous	Q202837	cardiac arrest	drug-used-for-treatment_DduftC
Q27284105	calcium citrate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q27888681	calcium glubionate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q413739	calcium gluconate	Q511818	Tetany	drug-used-for-treatment_DduftC
Q413739	calcium gluconate	Q202837	cardiac arrest	drug-used-for-treatment_DduftC
Q413739	calcium gluconate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q3831371	calcium levulinate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q27261387	calcium pantothenate	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q415970	candesartan	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q415970	candesartan	Q41861	hypertension	drug-used-for-treatment_DduftC
Q410884	cantharidin	Q18554021	common wart	drug-used-for-treatment_DduftC
Q410884	cantharidin	Q659584	molluscum contagiosum	drug-used-for-treatment_DduftC
Q420207	capecitabine	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q420207	capecitabine	Q18556932	large intestine cancer	drug-used-for-treatment_DduftC
Q273169	capsaicin	Q18554377	diabetic polyneuropathy	drug-used-for-treatment_DduftC
Q273169	capsaicin	Q182155	herpes zoster	drug-used-for-treatment_DduftC
Q421119	captopril	Q486485	Anasarca	drug-used-for-treatment_DduftC
Q421119	captopril	Q790971	Bartter disease	drug-used-for-treatment_DduftC
Q421119	captopril	Q1053824	Raynaud disease	drug-used-for-treatment_DduftC
Q421119	captopril	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q421119	captopril	Q41861	hypertension	drug-used-for-treatment_DduftC
Q421119	captopril	Q1641132	malignant hypertension	drug-used-for-treatment_DduftC
Q421119	captopril	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q419401	carbachol	Q159701	glaucoma	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q2895302	Complex partial seizure	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q131755	bipolar disorder	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q18557714	epilepsy with generalized tonic-clonic seizures	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q202387	post-traumatic stress disorder	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q916280	restless legs syndrome	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q41112	schizophrenia	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q2157462	schizophreniform disorder	drug-used-for-treatment_DduftC
Q410412	carbamazepine	Q1132120	trigeminal neuralgia	drug-used-for-treatment_DduftC
Q2633879	carbamide peroxide	Q3801491	epidermolytic hyperkeratosis	drug-used-for-treatment_DduftC
Q2633879	carbamide peroxide	Q673083	gingivitis	drug-used-for-treatment_DduftC
Q2633879	carbamide peroxide	Q18558125	intracranial hypertension	drug-used-for-treatment_DduftC
Q2633879	carbamide peroxide	Q520127	periodontitis	drug-used-for-treatment_DduftC
Q2633879	carbamide peroxide	Q911386	stomatitis	drug-used-for-treatment_DduftC
Q1050019	carbenicillin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q1050019	carbenicillin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q1050019	carbenicillin	Q372752	prostatitis	drug-used-for-treatment_DduftC
Q414225	carbidopa	Q11085	Parkinson's disease	drug-used-for-treatment_DduftC
Q3728177	carbinoxamine	Q2403156	vasomotor rhinitis	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q18968110	duodenal ulcer	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q18554653	peptic esophagitis	drug-used-for-treatment_DduftC
Q27104479	carbonate ion	Q172941	peptic ulcer disease	drug-used-for-treatment_DduftC
Q5038067	carboprost	Q246084	cystitis	drug-used-for-treatment_DduftC
Q415869	carmustine	Q18557440	childhood cerebral astrocytoma	drug-used-for-treatment_DduftC
Q415869	carmustine	Q9304843	medullomyoblastoma	drug-used-for-treatment_DduftC
Q546434	carteolol	Q41861	hypertension	drug-used-for-treatment_DduftC
Q546434	carteolol	Q9294051	ocular hypertension	drug-used-for-treatment_DduftC
Q546434	carteolol	Q3108586	open-angle glaucoma	drug-used-for-treatment_DduftC
Q27106078	carteolol hydrochloride	Q41861	hypertension	drug-used-for-treatment_DduftC
Q27106078	carteolol hydrochloride	Q9294051	ocular hypertension	drug-used-for-treatment_DduftC
Q27106078	carteolol hydrochloride	Q3108586	open-angle glaucoma	drug-used-for-treatment_DduftC
Q412534	carvedilol	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q412534	carvedilol	Q41861	hypertension	drug-used-for-treatment_DduftC
Q412534	carvedilol	Q12152	myocardial infarction	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q223254	otitis media	drug-used-for-treatment_DduftC
Q415167	cefaclor anhydrous	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q2319020	cefadroxil anhydrous	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2319020	cefadroxil anhydrous	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2319020	cefadroxil anhydrous	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2319020	cefadroxil anhydrous	Q28971	impetigo	drug-used-for-treatment_DduftC
Q2319020	cefadroxil anhydrous	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q2601530	cefamandole	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2601530	cefamandole	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2601530	cefamandole	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2601530	cefamandole	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q415739	cefazolin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q415739	cefazolin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q415739	cefazolin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q415739	cefazolin	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q415739	cefazolin	Q2450598	infective endocarditis	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q223254	otitis media	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q183344	sinusitis	drug-used-for-treatment_DduftC
Q1453445	cefdinir	Q186470	tonsillitis	drug-used-for-treatment_DduftC
Q3664175	cefditoren	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q3664175	cefditoren	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q3664175	cefditoren	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q16935263	Serratia infection	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q2552927	cefepime	Q506652	pyelonephritis	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q163901	cefixime anhydrous	Q223254	otitis media	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q16935263	Serratia infection	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q2325775	cefoperazone	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q16935263	Serratia infection	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q3678510	bacterial meningitis	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q417968	cefotaxime	Q223102	peritonitis	drug-used-for-treatment_DduftC
Q2353907	cefoxitin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2353907	cefoxitin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2353907	cefoxitin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2353907	cefoxitin	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q2353907	cefoxitin	Q223102	peritonitis	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q223254	otitis media	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q1052672	cefpodoxime proxetil	Q186470	tonsillitis	drug-used-for-treatment_DduftC
Q419521	ceftibuten	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q419521	ceftibuten	Q223254	otitis media	drug-used-for-treatment_DduftC
Q419521	ceftibuten	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q419521	ceftibuten	Q186470	tonsillitis	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q16935263	Serratia infection	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q1082945	ceftizoxime	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q201989	Lyme disease	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q3678510	bacterial meningitis	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q31798	chancroid	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q1344812	epididymitis	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q5442760	female reproductive system disease	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q223254	otitis media	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q223102	peritonitis	drug-used-for-treatment_DduftC
Q421713	ceftriaxone	Q941770	proctitis	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q201989	Lyme disease	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q28971	impetigo	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q413728	cefuroxime	Q183344	sinusitis	drug-used-for-treatment_DduftC
Q408801	celecoxib	Q1369011	familial adenomatous polyposis	drug-used-for-treatment_DduftC
Q408801	celecoxib	Q62736	osteoarthritis	drug-used-for-treatment_DduftC
Q408801	celecoxib	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q408801	celecoxib	Q41112	schizophrenia	drug-used-for-treatment_DduftC
Q411417	cephalexin anhydrous	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q411417	cephalexin anhydrous	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q411417	cephalexin anhydrous	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q411417	cephalexin anhydrous	Q3776920	bacterial pneumonia	drug-used-for-treatment_DduftC
Q411417	cephalexin anhydrous	Q2085267	pharyngitis	drug-used-for-treatment_DduftC
Q2736126	cephalothin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q2736126	cephalothin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q2736126	cephalothin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q549803	cephapirin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q549803	cephapirin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q549803	cephapirin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q423439	cerivastatin	Q184559	arteriosclerosis	drug-used-for-treatment_DduftC
Q423439	cerivastatin	Q844935	coronary artery disease	drug-used-for-treatment_DduftC
Q423439	cerivastatin	Q18554145	familial hyperlipidemia	drug-used-for-treatment_DduftC
Q423075	cetirizine	Q187440	urticaria	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q18557991	Hodgkin's lymphoma, mixed cellularity	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q4118092	Macroglobulinemia	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q1076481	choriocarcinoma	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q1088156	chronic lymphocytic leukemia	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q172341	ovarian cancer	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q324464	testicular cancer	drug-used-for-treatment_DduftC
Q415939	chlorambucil	Q1542410	thrombocytosis	drug-used-for-treatment_DduftC
Q274515	chloramphenicol	Q680873	otitis externa	drug-used-for-treatment_DduftC
Q2393323	chlorcyclizine	Q309067	motion sickness	drug-used-for-treatment_DduftC
Q178566	chlordiazepoxide	Q7331102	alcohol abuse	drug-used-for-treatment_DduftC
Q178566	chlordiazepoxide	Q544006	anxiety disorder	drug-used-for-treatment_DduftC
Q15646788	chlorhexidine	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q15646788	chlorhexidine	Q3905414	Skin infection	drug-used-for-treatment_DduftC
Q15646788	chlorhexidine	Q464067	fungal infectious disease	drug-used-for-treatment_DduftC
Q15646788	chlorhexidine	Q2508462	mouth disease	drug-used-for-treatment_DduftC
Q15646788	chlorhexidine	Q3327495	oral candidiasis	drug-used-for-treatment_DduftC
Q5102983	chlormezanone	Q544006	anxiety disorder	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q18554672	Plasmodium falciparum malaria	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q949694	amebiasis	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q12156	malaria	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q1483214	pemphigus	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q187255	rheumatoid arthritis	drug-used-for-treatment_DduftC
Q422438	chloroquine	Q5340515	systemic scleroderma	drug-used-for-treatment_DduftC
Q2603363	chlorothiazide	Q486485	Anasarca	drug-used-for-treatment_DduftC
Q2603363	chlorothiazide	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q2603363	chlorothiazide	Q41861	hypertension	drug-used-for-treatment_DduftC
Q2603363	chlorothiazide	Q504790	nephrotic syndrome	drug-used-for-treatment_DduftC
Q5103213	chlorotrianisene	Q938107	hypogonadism	drug-used-for-treatment_DduftC
Q5103213	chlorotrianisene	Q22467774	premature menopause	drug-used-for-treatment_DduftC
Q5103213	chlorotrianisene	Q181257	prostate cancer	drug-used-for-treatment_DduftC
Q12029435	chloroxine	Q18555302	scalp dermatosis	drug-used-for-treatment_DduftC
Q12029435	chloroxine	Q448310	seborrheic dermatitis	drug-used-for-treatment_DduftC
Q420133	chlorpheniramine	Q187440	urticaria	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q424247	acute intermittent porphyria	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q544006	anxiety disorder	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q1328833	oppositional defiant disorder	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q41112	schizophrenia	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q2157462	schizophreniform disorder	drug-used-for-treatment_DduftC
Q407972	chlorpromazine	Q47790	tetanus	drug-used-for-treatment_DduftC
Q425289	chlorthalidone	Q486485	Anasarca	drug-used-for-treatment_DduftC
Q425289	chlorthalidone	Q19000661	congestive heart failure	drug-used-for-treatment_DduftC
Q425289	chlorthalidone	Q41861	hypertension	drug-used-for-treatment_DduftC
Q425289	chlorthalidone	Q504790	nephrotic syndrome	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q18553712	Crohn's colitis	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q1472	Crohn's disease	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q12078	cancer	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q389735	cardiovascular system disease	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q736715	chronic kidney disease	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q18556020	lung benign neoplasm	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q165328	osteoporosis	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q4676432	pustulosis of palm and sole	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q18555315	skin benign neoplasm	drug-used-for-treatment_DduftC
Q139347	cholecalciferol	Q949302	skin disease	drug-used-for-treatment_DduftC
Q43656	cholesterol	Q18556052	nutrition disease	drug-used-for-treatment_DduftC
Q287415	cholic acid	Q3281322	peroxisomal disease	drug-used-for-treatment_DduftC
Q193166	choline	Q18557946	choline deficiency disease	drug-used-for-treatment_DduftC
Q27287271	chromic phosphate p-32	Q172341	ovarian cancer	drug-used-for-treatment_DduftC
Q2329715	chromium picolinate	Q12206	diabetes mellitus	drug-used-for-treatment_DduftC
Q419468	ciclopirox	Q17141201	Tinea	drug-used-for-treatment_DduftC
Q419468	ciclopirox	Q26985509	cutaneous candidiasis	drug-used-for-treatment_DduftC
Q419468	ciclopirox	Q926462	pityriasis versicolor	drug-used-for-treatment_DduftC
Q419468	ciclopirox	Q5609817	tinea pedis	drug-used-for-treatment_DduftC
Q423445	cidofovir anhydrous	Q26985508	Cytomegalovirus retinitis	drug-used-for-treatment_DduftC
Q423445	cidofovir anhydrous	Q2076966	cytomegalia	drug-used-for-treatment_DduftC
Q416791	cidoxepin	Q544006	anxiety disorder	drug-used-for-treatment_DduftC
Q416791	cidoxepin	Q268667	atopic dermatitis	drug-used-for-treatment_DduftC
Q416791	cidoxepin	Q19000444	neurotic disorder	drug-used-for-treatment_DduftC
Q418201	cilastatin	Q727028	bacterial infectious disease	drug-used-for-treatment_DduftC
Q258591	cilostazol	Q1097957	intermittent claudication	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q218712	Zollinger-Ellison syndrome	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q26695607	arterial occlusive disease	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q18968110	duodenal ulcer	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q18553940	gastric ulcer	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q18554653	peptic esophagitis	drug-used-for-treatment_DduftC
Q409492	cimetidine	Q187440	urticaria	drug-used-for-treatment_DduftC
Q1639588	cinoxacin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q2319112	cinoxate	Q608085	photosensitivity disease	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q19597369	Gram-negative bacterial infection	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q34879	Staphylococcal infection	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q221668	acute cystitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q129104	anthrax disease	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q18558195	bacterial conjunctivitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q727028	bacterial infectious disease	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q217519	bubonic plague	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q683861	campylobacteriosis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q246084	cystitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q129279	dysentery	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q101896	gonorrhea	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q1435822	neutropenia	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q938983	osteomyelitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q372752	prostatitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q183344	sinusitis	drug-used-for-treatment_DduftC
Q256602	ciprofloxacin	Q83319	typhoid fever	drug-used-for-treatment_DduftC
Q425295	cisapride	Q178436	constipation (use to describe an act)	drug-used-for-treatment_DduftC
Q425295	cisapride	Q653971	dyspepsia	drug-used-for-treatment_DduftC
Q425295	cisapride	Q223591	gastroesophageal reflux disease	drug-used-for-treatment_DduftC
Q425295	cisapride	Q943897	gastroparesis	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q18557991	Hodgkin's lymphoma, mixed cellularity	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q4742183	amelanotic melanoma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q128581	breast cancer	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q18557440	childhood cerebral astrocytoma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q372701	esophageal cancer	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q1783924	head and neck cancer	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q18556020	lung benign neoplasm	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q18556782	lung oat cell carcinoma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q18557998	lymphosarcoma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q467635	multiple myeloma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q938205	neuroblastoma	drug-used-for-treatment_DduftC
Q412415	cisplatin	Q549534	osteosarcoma	drug-used-for-treatment_DduftC
